0, 210, 0
1, 370, 0
2, 540, 0
3, 343, 0
4, 344, 0
5, 311, 0
6, 506, 0
7, 397, 0
8, 396, 0
9, 519, 0
10, 280, 0
11, 356, 0
12, 387, 0
13, 311, 0
14, 287, 0
15, 234, 0
16, 437, 0
17, 333, 0
18, 344, 0
19, 359, 0
20, 380, 1
21, 426, 1
22, 352, 0
23, 297, 0
24, 440, 0
25, 328, -1
26, 359, -1
27, 206, 0
28, 317, 0
29, 432, 1
30, 291, 1
31, 418, 1
32, 452, 0
33, 453, 0
34, 447, -1
35, 466, -2
36, 351, -1
37, 338, 0
38, 480, 1
39, 378, 2
40, 203, 2
41, 304, 1
42, 411, 0
43, 542, -1
44, 253, -3
45, 336, -3
46, 410, -1
47, 399, 0
48, 435, 3
49, 241, 4
50, 494, 3
51, 372, 1
52, 327, -1
53, 532, -4
54, 241, -4
55, 364, -3
56, 557, 0
57, 369, 3
58, 397, 5
59, 340, 5
60, 402, 3
61, 516, 0
62, 305, -4
63, 219, -6
64, 228, -6
65, 414, -2
66, 278, 2
67, 287, 6
68, 487, 7
69, 373, 6
70, 411, 1
71, 408, -3
72, 450, -7
73, 287, -8
74, 278, -5
75, 518, 0
76, 294, 5
77, 361, 9
78, 355, 9
79, 413, 5
80, 422, -1
81, 214, -7
82, 380, -11
83, 347, -9
84, 358, -3
85, 404, 3
86, 336, 10
87, 415, 12
88, 320, 9
89, 378, 1
90, 608, -6
91, 304, -11
92, 386, -12
93, 542, -8
94, 280, 0
95, 362, 8
96, 404, 13
97, 450, 13
98, 377, 6
99, 411, -2
100, 403, -11
101, 378, -15
102, 408, -12
103, 306, -4
104, 399, 5
105, 547, 13
106, 167, 16
107, 300, 11
108, 381, 2
109, 327, -8
110, 325, -15
111, 402, -16
112, 217, -10
113, 243, 0
114, 380, 10
115, 279, 17
116, 260, 16
117, 171, 8
118, 261, -3
119, 332, -13
120, 274, -18
121, 184, -15
122, 281, -6
123, 508, 6
124, 492, 15
125, 264, 19
126, 430, 14
127, 425, 3
128, 303, -9
129, 492, -17
130, 304, -19
131, 472, -12
132, 510, 0
133, 557, 11
134, 459, 19
135, 366, 18
136, 390, 10
137, 388, -2
138, 499, -14
139, 359, -19
140, 460, -17
141, 485, -7
142, 493, 5
143, 318, 16
144, 479, 20
145, 359, 15
146, 367, 4
147, 365, -8
148, 265, -17
149, 202, -20
150, 244, -14
151, 328, -2
152, 305, 10
153, 178, 18
154, 152, 19
155, 267, 11
156, 440, 0
157, 115, -12
158, 279, -19
159, 368, -18
160, 312, -9
161, 174, 3
162, 281, 14
163, 355, 19
164, 337, 16
165, 354, 6
166, 572, -5
167, 348, -15
168, 417, -18
169, 481, -14
170, 482, -4
171, 366, 7
172, 470, 16
173, 473, 18
174, 355, 12
175, 373, 1
176, 448, -9
177, 603, -16
178, 614, -16
179, 422, -9
180, 603, 1
181, 463, 11
182, 423, 16
183, 290, 14
184, 437, 6
185, 286, -3
186, 269, -12
187, 425, -15
188, 290, -11
189, 265, -3
190, 263, 5
191, 268, 12
192, 260, 13
193, 211, 9
194, 273, 1
195, 236, -6
196, 341, -11
197, 66, -11
198, 227, -6
199, 360, 0
200, 182, 7
201, 353, 10
202, 486, 8
203, 283, 3
204, 414, -2
205, 396, -7
206, 461, -8
207, 238, -5
208, 359, -1
209, 385, 3
210, 333, 5
211, 376, 5
212, 597, 3
213, 481, 0
214, 533, -3
215, 425, -3
216, 445, -2
217, 530, 0
218, 317, 1
219, 448, 1
220, 524, 1
221, 338, 0
222, 367, -1
223, 386, -1
224, 430, 0
225, 316, 1
226, 416, 3
227, 371, 3
228, 394, 0
229, 194, -2
230, 234, -5
231, 252, -6
232, 199, -3
233, 280, 1
234, 135, 6
235, 353, 8
236, 150, 7
237, 277, 2
238, 347, -4
239, 323, -9
240, 195, -11
241, 377, -8
242, 264, 0
243, 263, 8
244, 235, 13
245, 466, 13
246, 332, 7
247, 282, -2
248, 505, -12
249, 389, -17
250, 471, -14
251, 439, -5
252, 466, 6
253, 486, 16
254, 315, 19
255, 447, 13
256, 407, 1
257, 304, -11
258, 251, -20
259, 547, -20
260, 379, -11
261, 373, 2
262, 354, 16
263, 365, 23
264, 337, 20
265, 342, 8
266, 399, -7
267, 244, -20
268, 426, -25
269, 311, -18
270, 280, -4
271, 306, 12
272, 231, 24
273, 402, 25
274, 494, 15
275, 290, -1
276, 233, -17
277, 347, -26
278, 306, -23
279, 253, -11
280, 245, 6
281, 348, 21
282, 230, 26
283, 307, 20
284, 398, 5
285, 348, -11
286, 444, -23
287, 453, -25
288, 362, -16
289, 472, 0
290, 285, 15
291, 330, 24
292, 412, 22
293, 395, 11
294, 243, -4
295, 470, -18
296, 361, -23
297, 322, -18
298, 380, -5
299, 425, 9
300, 337, 19
301, 336, 20
302, 434, 13
303, 329, 0
304, 180, -12
305, 352, -18
306, 208, -17
307, 444, -7
308, 392, 4
309, 375, 13
310, 471, 16
311, 434, 12
312, 305, 2
313, 516, -6
314, 431, -12
315, 321, -12
316, 415, -6
317, 452, 1
318, 183, 7
319, 334, 10
320, 417, 7
321, 364, 1
322, 365, -3
323, 497, -6
324, 351, -6
325, 359, -2
326, 400, 2
327, 395, 4
328, 284, 4
329, 243, 0
330, 345, -2
331, 244, -4
332, 347, -3
333, 325, 0
334, 366, 4
335, 395, 6
336, 287, 5
337, 330, 0
338, 447, -5
339, 342, -9
340, 324, -8
341, 460, -3
342, 217, 4
343, 299, 10
344, 380, 12
